form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,overabundance_tag,source,page,language_id
pangkhua105,muh,3.pl.1.sg.nfut.aff,hɒŋ=muʔ,hɒŋΣ,h ɒ ŋ Σ,hɒŋ+Σ,h ɒ ŋ + Σ,,optional_third,Akter2024Argument,292,pangkhua
pangkhua106,muh,3.pl.1.pl.nfut.aff,ən=hɒŋ=muʔ=ei,ənhɒŋΣei,ə n h ɒ ŋ Σ ei,ə+n+hɒŋ+Σ+ei,ə + n + h ɒ ŋ + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua107,muh,3.sg.2.sg.nfut.aff,ə=muʔ=ne,əΣne,ə Σ n e,ə+Σ+ne,ə + Σ + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua108,muh,3.sg.2.pl.nfut.aff,ə=muʔ=ei=ne,əΣeine,ə Σ ei n e,ə+Σ+ei+ne,ə + Σ + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua109,muh,3.pl.2.sg.nfut.aff,ən=muʔ=ne,ənΣne,ə n Σ n e,ə+n+Σ+ne,ə + n + Σ + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua110,muh,3.pl.2.pl.nfut.aff,ən=muʔ=ei=ne,ənΣeine,ə n Σ ei n e,ə+n+Σ+ei+ne,ə + n + Σ + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua111,muh,3.sg.3.sg.nfut.aff,ə=muʔ,əΣ,ə Σ,ə+Σ,ə + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua112,zel,3.sg.3.sg.nfut.aff,zel,Σ,Σ,Σ,Σ,,optional_third,Akter2024Grammar,5,pangkhua
pangkhua113,muh,3.sg.3.pl.nfut.aff,ə=muʔ=ei,əΣei,ə Σ ei,ə+Σ+ei,ə + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua114,muh,3.pl.3.sg.nfut.aff,ən=muʔ,ənΣ,ə n Σ,ə+n+Σ,ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua115,muh,3.pl.3.pl.nfut.aff,ən=muʔ=ei,ənΣei,ə n Σ ei,ə+n+Σ+ei,ə + n + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua116,kal,1.sg.nfut.neg,kə=kal=lo,kəΣlo,k ə Σ l o,kə+Σ+lo,k ə + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua117,kal,1.pl.nfut.neg,kən=kal=lo,kənΣlo,k ə n Σ l o,kə+n+Σ+lo,k ə + n + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
